Id,SalePrice
1461,123745.13600874098
1462,159507.95683222963
1463,185575.7052001223
1464,195511.87505047378
1465,187397.1983339453
1466,170052.67853830452
1467,176491.32056106254
1468,164621.1397462586
1469,189728.9492974071
1470,124797.89751197558
1471,186140.25299187063
1472,96866.86649994651
1473,94962.59273894425
1474,147635.64897425717
1475,119980.34577127107
1476,375641.24274390907
1477,252282.00084321055
1478,292474.6149408084
1479,278280.42981853645
1480,482613.4261033007
1481,337833.35220020794
1482,210338.2631607054
1483,171951.27460524763
1484,162009.5380951873
1485,185973.7035524911
1486,195439.59356307078
1487,346790.7771688903
1488,241957.5430419022
1489,200871.09923679792
1490,233689.3523032195
1491,193734.7402479786
1492,90732.37893276788
1493,188852.7728229381
1494,300218.0856428763
1495,292561.07302557596
1496,243692.1485571939
1497,180289.29003976428
1498,166686.8876961033
1499,161400.7371913916
1500,154816.80935711547
1501,175678.93735468088
1502,146766.0075180265
1503,301633.80847744
1504,241272.55847571406
1505,231718.64165870877
1506,190154.12753030602
1507,243976.15228908492
1508,206214.82368263174
1509,161748.5511131682
1510,148132.60632084447
1511,147871.01951348412
1512,172740.19191622527
1513,149512.64409666279
1514,157870.7356415625
1515,187799.0825934313
1516,152224.88421633505
1517,159864.03549068564
1518,134415.5737735191
1519,215242.00201991087
1520,133782.87296094655
1521,133571.89642798383
1522,178415.68026871065
1523,110925.71037923472
1524,125878.64706547599
1525,122876.64671654643
1526,116528.92489398635
1527,104207.92727909714
1528,132408.22392878882
1529,153978.9218838357
1530,176017.6963242761
1531,107818.27976443582
1532,96471.97981713749
1533,143393.01986737308
1534,121990.57949291918
1535,144870.76651745537
1536,108585.42893197443
1537,64133.59984338154
1538,159311.9878433648
1539,203756.68978100704
1540,93523.34749694171
1541,147408.24705795277
1542,142567.53723606424
1543,199030.88134184378
1544,84421.39216849348
1545,109784.76190944204
1546,139093.10249291218
1547,134363.73952767026
1548,135327.65000097564
1549,114749.60153809411
1550,139713.3237792004
1551,111551.63045662809
1552,135344.6031300013
1553,152614.86624967778
1554,116697.03542433988
1555,167713.1060231873
1556,83441.90744352626
1557,107602.98772510768
1558,99401.77841329112
1559,69938.28271176781
1560,131330.8832233845
1561,138138.6851071145
1562,132136.88465303168
1563,121543.99406802125
1564,154563.97934358066
1565,148518.9077278451
1566,244192.6695633666
1567,74230.69092589035
1568,239641.34531946477
1569,140852.12247848744
1570,139878.27362774906
1571,114414.61742163337
1572,144252.20158863734
1573,227157.382707378
1574,115945.33267198321
1575,226990.0556620105
1576,235910.5151189563
1577,187325.7935133459
1578,148142.09110821784
1579,145424.9399844359
